Restaurant,Cousines,Rating,Rating_counts,Delivery_rating,Delivery_rating_counts,Area,Adress,Price_for_2,1st_time_open,1st_time_close,2nd_time_open,2nd_time_close,week
Shri Guruprasad Restaurant,"North Indian, Chinese, South Indian",3.9,105.0,4.0,299.0,Navapura,"4, Aram Complex, Opposite Polo Ground, Rajmahal Road, Navapura, Vadodara",300,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Ashish Restaurant,"North Indian, Chinese",3.6,126.0,,,Gotri,"Varun Complex, Ganga Vihar Society, Harinagar Cross Road, Gotri, Vadodara",600,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Aries Pan - Panditji Paratha House,North Indian,3.9,64.0,4.0,2892.0,Alkapuri,"Shop B-11, 88, BPC Road, Samoatrao Colony, Alkapuri, Vadodara",150,2020-10-15 08:00:00,2020-10-15 21:00:00,,,Mon-Sun)
Blue Lagoons,"Fast Food, Chinese, Continental, North Indian",3.7,76.0,4.1,2094.0,Fatehgunj,"24, Near Convent School, Suvas Colony, Fatehgunj, Vadodara",600,2020-10-15 11:30:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 22:30:00,Mon-Sun)
Jay Jalaram Restaurant,"South Indian, North Indian",3.6,66.0,3.1,882.0,Sayajipura,"C/18, Ajwa Road, Lakulesh Nagar, Sayaji Park Society, Vadodara, Sayajipura, Vadodara",150,2020-10-15 10:00:00,2020-10-15 19:00:00,,,Mon-Sun)
Table 42,"North Indian, Chinese",3.9,72.0,4.2,995.0,Akota,"B/2, Praful Colony, Opposite Dmart, Akota, Vadodara",300,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
My Restaurant,"North Indian, Chinese",3.6,154.0,,,Vadiwadi,"Ground Floor, Solitare Complex, Old Padra Road, Vadiwadi, Vadodara",800,2020-10-15 11:30:00,2020-10-15 00:00:00,,,Mon-Sun)
Raju Patti Samosa,Street Food,4.0,174.0,,,Mandvi,"Sursagar Road, Opposite Maharani School, Mandvi, Vadodara",100,2020-10-15 07:00:00,2020-10-15 14:00:00,,,"Mon),7am–9pm(Tue-Sun)"
Cold Press,"Juices, Salad, Healthy Food",3.8,67.0,4.3,486.0,Akota,"7-8, Shivang Complex, Malhar Point Lane, Opposite Gail, Akota, Vadodara",300,2020-10-15 11:00:00,2020-10-15 19:00:00,,,Mon-Sun)
A1 Omlet Centre,Street Food,3.9,98.0,4.5,213.0,Diwalipura,"Alamin Complex, Opposite Basera Complex, Safamarva Complex, Tandalja, Diwalipura, Vadodara",350,2020-10-15 18:30:00,2020-10-15 00:00:00,,,Mon-Sun)
Mahavir Ice Cream,"Ice Cream, Desserts",3.9,159.0,,,Sayajigunj,"35, Near D Mart, Waghodia Road, Sayajigunj, Vadodara",200,2020-10-15 12:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Maratha Katta,Maharashtrian,4.0,97.0,,,Diwalipura,"GF-08, Urban One Complex, Near Panch Mukhi Hanuman Mandir, Vasna Bhayli Road, Diwalipura, Vadodara",600,2020-10-15 12:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 23:30:00,Mon-Sun)
Bite Me,Fast Food,3.8,85.0,4.3,1193.0,Karelibaug,11 chetanyadham society punit Nagar nearParam child care clinic chanakyapuri circle new sama Vadodara,200,2020-10-15 08:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Jay Ambe Smoothies & Shakes,"Desserts, Beverages, Fast Food",4.2,150.0,4.5,1002.0,Gotri,"2, 3, 4, Ground Floor, Yash Complex, Gotri Main Road, Gotri, Vadodara",300,2020-10-15 08:00:00,2020-10-15 21:00:00,,,Mon-Sun)
Maggevala-OP Road,Fast Food,3.7,101.0,4.2,566.0,Diwalipura,"O P Road, Shree Nagar Society, Purushottam Nagar, Diwalipura, Vadodara",300,2020-10-15 11:00:00,2020-10-15 21:30:00,,,Mon-Sun)
Abhilasha Restaurant,"North Indian, Chinese",3.5,80.0,3.7,628.0,Nizampura,"New Sama Road, Gyan Kunj 1, Sama GSFC Complex, Nizampura, Vadodara",600,2020-10-15 11:00:00,2020-10-15 15:30:00,2020-10-15 19:00:00,2020-10-15 23:00:00,Mon-Sun)
Patiyala's Chhole Bhature,"North Indian, Street Food",,,3.7,1994.0,Mandvi,"F/43, Shukal Nagar, Behind Prabhat Society, Near Shrivastav Complex, Javer Nagar, Waghodia Road, Mandvi, Vadodara",200,2020-10-15 08:00:00,2020-10-15 02:00:00,,,Mon-Sun)
